split,pki_bin,n,mean_true_pKi,mean_pred_pKi,mean_abs_error,median_abs_error,rmse,mean_uncertainty
valid,pKi < 6,159,5.126504880784312,5.951910258169513,0.9497127592650101,0.8210248858185318,1.2044743698801088,1.097989627916431
valid,6 <= pKi < 7,101,6.49822602179748,6.747988122729315,0.5595621518377806,0.40442085725468413,0.765126844848658,1.1055850017331585
valid,7 <= pKi < 8,114,7.534255518302122,7.269243170690731,0.7382692956291271,0.6036734376510844,0.9068346450396851,1.0988979965915298
valid,pKi >= 8,180,8.960394516451666,8.402685241121963,0.7193734788983881,0.5307349760692031,0.9614524205468439,1.0667774454593077
test,pKi < 6,187,5.063863501743468,5.886833434933678,0.9514499055158024,0.786490013493446,1.2208029842528005,1.0885812353694746
test,6 <= pKi < 7,103,6.517650168029233,6.772859555893903,0.5312163949243044,0.3857035283463288,0.7185877902280561,1.1081557918376574
test,7 <= pKi < 8,110,7.5294437124918066,7.307040034321315,0.6079972399671262,0.4548766863027587,0.7990572360222794,1.1284100454338637
test,pKi >= 8,155,8.97179827375819,8.462256594543106,0.6742274285151767,0.5305301945791765,0.8932182759545605,1.1037122935162562
