arm,final_round,final_n_labeled_mean,final_rmse_mean,final_rmse_std,final_mae_mean,final_mae_std,final_spearman_mean,final_spearman_std,rmse_normalized_auc_mean,rmse_normalized_auc_std,mae_normalized_auc_mean,mae_normalized_auc_std
random,20,1259.0,1.0280536165038339,0.013370925134886366,0.7748194947244308,0.013303204657712028,0.7897262195305754,0.004847179576512069,1.087289910221887,0.009037350600192074,0.8336963877069374,0.012906061364271026
uncertainty,20,1259.0,0.9964055893388538,0.012483151439739899,0.7531639060552007,0.01124752209044891,0.8052595313241767,0.005509377025807959,1.0509941237511415,0.012719786878771904,0.8072423592306508,0.009186568590324604
