model,split_type,split,n,best_epoch,rmse,mae,r2,spearman_r,spearman_p
GINE,scaffold,train,2586,68,0.5019325940990171,0.3815726132145798,0.917334329805175,0.9614706306793056,0.0
GINE,scaffold,valid,554,68,1.0406901908178248,0.785233879777929,0.5900804051312483,0.7672337210808637,1.4735974650434637e-108
GINE,scaffold,test,555,68,1.0564267803915626,0.7903597737217809,0.6009855492416794,0.7752920654548195,1.9319274535545645e-112
GINE,random,train,2586,107,0.4100463655172638,0.3031218230770433,0.942530798054524,0.9732112109141455,0.0
GINE,random,valid,554,107,0.7435166663788066,0.559208076783466,0.8108442009563015,0.8977473434944803,1.1000613827792757e-198
GINE,random,test,555,107,0.762077524159332,0.5602328296180243,0.8113525496281484,0.8987029584959176,4.1443019107346204e-200
