split,n,rmse,mae,r2,spearman_true_pred,mean_uncertainty_rf_tree_std,spearman_uncertainty_abs_error
valid,554,0.9963254340820472,0.7602347147331818,0.6242852878634209,0.7925068926069021,1.0894201223968796,0.36091756095432764
test,555,0.9733220273178059,0.7279664303151255,0.6612939694005515,0.8125299262029726,1.1043337802993067,0.27529014632539095
