split_type,epoch,train_loss_norm_mse,train_rmse,valid_rmse,train_mae,valid_mae,learning_rate
scaffold,1,0.9870326721382436,1.635650857928642,1.5801564333427387,1.3440285875920814,1.3176260764848455,0.001
scaffold,2,0.779372389290744,1.659229416861494,1.6362248795850733,1.3435796253089285,1.322760337096259,0.001
scaffold,3,0.5703677910063862,1.2441739642039262,1.2724727123423087,1.005410661645758,1.0447349896930185,0.001
scaffold,4,0.5152562325164871,1.184411152078105,1.2553400344054346,0.9504778186019225,1.0225991957454474,0.001
scaffold,5,0.45294915136217795,1.1021831412230159,1.272351532379842,0.8594995240139943,1.0280119327001194,0.001
scaffold,6,0.40187601096300035,1.052589398012315,1.2418677678104506,0.8300924054062467,0.9846923742914028,0.001
scaffold,7,0.382559538947826,1.1022354727930221,1.2717979519550195,0.87563301220663,1.0198463141272645,0.001
scaffold,8,0.3771023024493009,1.2528833692578834,1.3629160491438295,0.9983198933147776,1.1006415307736999,0.001
scaffold,9,0.35644648857385913,1.0431196464814148,1.198606936006065,0.8434631658540801,0.9731081543416322,0.001
scaffold,10,0.34437308257066823,0.9270918626911766,1.1550974424589744,0.7257732959652906,0.911165614851115,0.001
scaffold,11,0.3371556375207407,0.9299889583925709,1.1499528248599498,0.7349787556839285,0.9036341965844055,0.001
scaffold,12,0.31869811188409425,1.0710393977025388,1.2754330216315113,0.8514423109446951,1.019686920548174,0.001
scaffold,13,0.3177881981177747,0.9813793159487162,1.2362953036661293,0.7818144729500672,0.9869580363538721,0.001
scaffold,14,0.28223393883985415,0.8702564546514012,1.1578696537199664,0.6749750767580226,0.914505411571544,0.001
scaffold,15,0.28505628956489015,0.9078137979393136,1.1700780317522315,0.7098067650385633,0.9232506579870782,0.001
scaffold,16,0.27375086795103615,0.806461798012747,1.1295743988189568,0.6151970666411858,0.8740804496654965,0.001
scaffold,17,0.27324010207039023,0.8402202036124449,1.1138576402737748,0.6520471863293039,0.8576912144030905,0.001
scaffold,18,0.27067189345572773,0.8889828948923448,1.1459959163941438,0.7121295127772769,0.909423321593109,0.001
scaffold,19,0.2698815142287824,0.9119736395238104,1.1175013253082857,0.7417098966939267,0.8971769185703153,0.001
scaffold,20,0.2657853732806071,0.9110872491076389,1.1586291960038104,0.7136228912483328,0.9079672915840837,0.001
scaffold,21,0.2541437866504766,0.774949875572367,1.1465810241238703,0.5931644354877044,0.8860407198379187,0.001
scaffold,22,0.2435263715402064,0.807082835684429,1.0789550872482165,0.6278493039292692,0.8405726657447402,0.001
scaffold,23,0.23358305540779997,0.7821276328197968,1.1867735944454731,0.5935865451638679,0.9167863573838657,0.001
scaffold,24,0.2537182028083403,0.9602473290930884,1.2069063443654928,0.7681112637929186,0.9472121202558387,0.001
