seed,arm,round,n_labeled,n_pool_remaining,test_n,rmse,mae,r2,spearman_r,spearman_p
11,random,0,259,2327,555,1.1876559585540951,0.9321472086644865,0.4956974962638193,0.7293089855761765,3.2928628930167285e-93
11,random,1,309,2277,555,1.1652882133356428,0.9086422686411145,0.5145142044765918,0.7451842557732686,2.2293030321253786e-99
11,random,2,359,2227,555,1.1579906092846617,0.8955071801388672,0.520575862760444,0.7458423310626381,1.2093166185605916e-99
11,random,3,409,2177,555,1.1494036419438918,0.8852346971503932,0.5276597467092181,0.7475121032076447,2.5400749396369486e-100
11,random,4,459,2127,555,1.1291410988034,0.8647519883365841,0.5441664875773586,0.7577681928851561,1.3245475822843415e-104
11,random,5,509,2077,555,1.1179402320908436,0.857230473606061,0.5531651972688681,0.7514787754427786,5.933568189288e-102
11,random,6,559,2027,555,1.1023609444518392,0.8436264986426127,0.5655323380662649,0.7593776847158132,2.694715071953911e-105
11,random,7,609,1977,555,1.0783543341221766,0.8214652219048254,0.584249484146862,0.7658083832729797,4.093418211819676e-108
11,random,8,659,1927,555,1.0850385768278228,0.8266549756019426,0.5790794021210153,0.7617337155122671,2.5603777153560456e-106
11,random,9,709,1877,555,1.0652075265377179,0.8145868832321377,0.5943249734972977,0.7719048557322816,7.163799138291945e-111
11,random,10,759,1827,555,1.0617978376465715,0.8067422646251928,0.596917917633506,0.7704924586504247,3.172866803762531e-110
11,random,11,809,1777,555,1.0746187539304346,0.8167745764782001,0.5871249385512343,0.7649991382034539,9.369690679893458e-108
11,random,12,859,1727,555,1.0764299586704162,0.8127946335039133,0.5857320139397426,0.7649873980605143,9.482700685170152e-108
11,random,13,909,1677,555,1.0600739991499144,0.8009138919304901,0.598225670088646,0.7718464884456873,7.619814242683322e-111
11,random,14,959,1627,555,1.054235668509805,0.7971465049720923,0.6026390072042433,0.7722339658022724,5.0567742616997775e-111
11,random,15,1009,1577,555,1.0450785177069826,0.7904149199137874,0.6095120275143477,0.776594174089042,4.7363942438534804e-113
11,random,16,1059,1527,555,1.0488421957656058,0.7859938721705826,0.6066944068700862,0.7745272126943543,4.392467847038024e-112
11,random,17,1109,1477,555,1.0333443190621037,0.771152834597121,0.6182316395457572,0.7838579706215483,1.5565580342088357e-116
11,random,18,1159,1427,555,1.0283295646677313,0.7742748458077793,0.6219280437669205,0.7886190986405887,6.837658527707667e-119
11,random,19,1209,1377,555,1.0257420657443153,0.7701225609758401,0.623828271195489,0.7916087739521188,2.1052678564427434e-120
11,random,20,1259,1327,555,1.0181695916566933,0.7638867503233576,0.6293618963506299,0.7951833440304388,3.0411898139879845e-122
11,uncertainty,0,259,2327,555,1.1876559585540951,0.9321472086644865,0.4956974962638193,0.7293089855761765,3.2928628930167285e-93
11,uncertainty,1,309,2277,555,1.1426613686722409,0.9018481365604019,0.5331848843670071,0.7506138875251784,1.354187523494699e-101
11,uncertainty,2,359,2227,555,1.1700189768038027,0.9123232130067979,0.5105643138388964,0.7485498335520427,9.57144330382306e-101
11,uncertainty,3,409,2177,555,1.1217147092441786,0.8726411233440312,0.5501428265434253,0.7592071104447079,3.1919928334574585e-105
11,uncertainty,4,459,2127,555,1.0750786298640835,0.839860610238515,0.5867714886775015,0.7727526164009252,2.917206981830545e-111
11,uncertainty,5,509,2077,555,1.052751814790126,0.811677929735148,0.6037568040139126,0.780989370826216,3.834598834553192e-115
11,uncertainty,6,559,2027,555,1.0566445983576238,0.8150162224168568,0.6008209917395826,0.7838658073461543,1.542888689236205e-116
11,uncertainty,7,609,1977,555,1.0609000960980413,0.8114134895566927,0.5975992348176776,0.7847815485064311,5.490339883133246e-117
11,uncertainty,8,659,1927,555,1.0312362877300687,0.790175758017949,0.6197876722675788,0.7894690568964241,2.5566424555130154e-119
11,uncertainty,9,709,1877,555,1.0270287225360957,0.7828024589467745,0.6228839646585271,0.7889374337514788,4.7328792340942873e-119
11,uncertainty,10,759,1827,555,1.0227068411640912,0.7818610073147297,0.6260512011960413,0.7937977088340843,1.5875421576729739e-121
11,uncertainty,11,809,1777,555,1.019768543180438,0.782172148243731,0.6281968690199862,0.7937256534874331,1.7293983594088821e-121
11,uncertainty,12,859,1727,555,1.0066934541219121,0.7695529550510319,0.6376699868615213,0.7997004947702986,1.2716422608498053e-124
11,uncertainty,13,909,1677,555,0.99047602507951,0.7552996425185748,0.6492499385444306,0.8101660335471098,2.2435132471003177e-130
11,uncertainty,14,959,1627,555,0.9783147895954463,0.7486160576143923,0.6578102012496414,0.8140362093291109,1.3548633561849256e-132
11,uncertainty,15,1009,1577,555,0.9814676843744032,0.7444146941649152,0.6556010412692204,0.8107386506732591,1.0613004797844003e-130
11,uncertainty,16,1059,1527,555,0.9810468822864408,0.7424280963088276,0.6558962985361769,0.8083041416730621,2.5140584082227946e-129
11,uncertainty,17,1109,1477,555,0.9844090252389045,0.7469480848622634,0.6535337034261552,0.8087762744086403,1.3656915083714994e-129
11,uncertainty,18,1159,1427,555,0.9833537947902634,0.745521113011642,0.6542760896173643,0.8097281209585128,3.970067492225955e-130
11,uncertainty,19,1209,1377,555,0.9770979893429942,0.7383216348991993,0.6586608838708061,0.8115002616873889,3.9059655842465675e-131
11,uncertainty,20,1259,1327,555,0.9849686063302983,0.7418606310936042,0.6531396983181439,0.8090461046547841,9.628450718582259e-130
22,random,0,259,2327,555,1.2325619575679199,0.9837882805945212,0.45684055110253596,0.6813031095822067,5.905198297423355e-77
22,random,1,309,2277,555,1.1926057790828128,0.951918870120517,0.49148515073305643,0.7065648141932057,4.2610694014376404e-85
22,random,2,359,2227,555,1.1704492391648502,0.9219505265217013,0.5102042778421316,0.7203972822486183,6.196257616691705e-90
22,random,3,409,2177,555,1.1689882278022892,0.9177869201303329,0.5114262881096558,0.7260227059863583,5.49755277503784e-92
22,random,4,459,2127,555,1.1342249439800265,0.8918613007668413,0.5400525572495027,0.7387370831681701,8.089543292390897e-97
22,random,5,509,2077,555,1.1244525399762786,0.8837708848590983,0.547944164367911,0.7474360467373804,2.7279146204655445e-100
22,random,6,559,2027,555,1.1072724377440328,0.8661795790704486,0.5616522319959366,0.7547282372174842,2.5916548958552197e-103
22,random,7,609,1977,555,1.098176397766052,0.8586558115980869,0.5688245439039258,0.7608894915156401,5.969648758585998e-106
22,random,8,659,1927,555,1.0844952522503823,0.8392052323369804,0.5795008419700096,0.7686844550612564,2.09918002260601e-109
22,random,9,709,1877,555,1.091469620759323,0.8404265950908072,0.5740750068626499,0.7653899364060667,6.283923461577012e-108
22,random,10,759,1827,555,1.0964897412809622,0.8518036407573872,0.570147985937133,0.7675872693858239,6.55216269931447e-109
22,random,11,809,1777,555,1.087550489389282,0.8398238063710053,0.5771282464178491,0.7797458320772013,1.5150648209479808e-114
22,random,12,859,1727,555,1.0714559326616584,0.8292247620738663,0.5895517123814762,0.7866200453979236,6.792267790632018e-118
22,random,13,909,1677,555,1.0901235750364657,0.8339440322736259,0.5751248959053185,0.7725445052572484,3.6383610225092766e-111
22,random,14,959,1627,555,1.0831519449141889,0.8262748689324666,0.5805418972843681,0.7752382139265136,2.0471639655284668e-112
22,random,15,1009,1577,555,1.0784406818388248,0.8246177078898298,0.5841829001978043,0.7751680187532192,2.207701765297896e-112
22,random,16,1059,1527,555,1.0750629403793008,0.8166744719372958,0.586783549739738,0.7779310060668474,1.1074222085204381e-113
22,random,17,1109,1477,555,1.056890182905568,0.8061304453929812,0.6006354164028428,0.7804793365405412,6.744229303136909e-115
22,random,18,1159,1427,555,1.0640724826265069,0.8107856202827339,0.5951890560984237,0.7798456847112126,1.3572536955255564e-114
22,random,19,1209,1377,555,1.0523726954856365,0.8033949440196527,0.6040421445725547,0.7827211597900451,5.573997915141153e-116
22,random,20,1259,1327,555,1.045906455888697,0.794149710391953,0.608893073130145,0.7869075397996912,4.8896542067152055e-118
22,uncertainty,0,259,2327,555,1.2325619575679196,0.9837882805945212,0.4568405511025361,0.6813031095822067,5.905198297423355e-77
22,uncertainty,1,309,2277,555,1.2106292319101644,0.9597322510393396,0.47599897950509873,0.6996266757679388,8.929398079840797e-83
