action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,requested_activity_type,standard_value_num,pIC50,selected_endpoint,activity_type_cleaned
,,73190,[],CHEMBL659623,Inhibition of activated Coagulation factor X,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2C(=O)OC)c1,,,CHEMBL1132127,Bioorg Med Chem Lett,1999.0,"{'bei': '13.71', 'le': '0.26', 'lle': '2.35', 'sei': '5.93'}",,CHEMBL46845,,CHEMBL46845,6.92,0,http://www.openphacts.org/units/Nanomolar,73022,=,1,1,=,,IC50,nM,,120.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,0.12,IC50,120.0,6.920818753952375,pIC50,IC50
,,73343,[],CHEMBL659606,In vitro inhibition of human Coagulation factor X.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)C1.O=C(O)C(F)(F)F,,,CHEMBL1133331,Bioorg Med Chem Lett,2000.0,"{'bei': '15.97', 'le': '0.32', 'lle': '10.66', 'sei': '3.91'}",,CHEMBL162443,,CHEMBL1181292,9.04,0,http://www.openphacts.org/units/Nanomolar,322112,=,1,1,=,,IC50,nM,,0.92,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,0.92,IC50,0.92,9.036212172654444,pIC50,IC50
,,74077,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCOCC3)c2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '13.03', 'le': '0.26', 'lle': '0.73', 'sei': '8.53'}",,CHEMBL177996,,CHEMBL177996,7.13,0,http://www.openphacts.org/units/Nanomolar,348608,=,1,1,=,,IC50,nM,,74.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,74.0,IC50,74.0,7.130768280269024,pIC50,IC50
,,74239,[],CHEMBL659623,Inhibition of activated Coagulation factor X,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2CCCCCc2ccccc2)c1,,,CHEMBL1132127,Bioorg Med Chem Lett,1999.0,"{'bei': '7.73', 'le': '0.14', 'lle': '-2.62', 'sei': '5.07'}",,CHEMBL44891,,CHEMBL44891,4.58,0,http://www.openphacts.org/units/Nanomolar,73023,=,1,1,=,,IC50,nM,,26000.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,26.0,IC50,26000.0,4.585026652029182,pIC50,IC50
,,74654,[],CHEMBL661678,In vitro inhibition of coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)c1cccc(C2Oc3ccccc3N(CCCCCN3CCCCC3)C2=O)c1,,,CHEMBL1133480,J Med Chem,2000.0,"{'bei': '17.30', 'le': '0.32', 'lle': '3.19', 'sei': '8.80'}",,CHEMBL341187,,CHEMBL341187,7.28,0,http://www.openphacts.org/units/Nanomolar,251230,=,1,1,=,,IC50,nM,,53.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,0.053,IC50,53.0,7.275724130399211,pIC50,IC50
,,75119,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCCNCC3)c2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '13.37', 'le': '0.26', 'lle': '1.13', 'sei': '8.68'}",,CHEMBL176484,,CHEMBL176484,7.50,0,http://www.openphacts.org/units/Nanomolar,348584,=,1,1,=,,IC50,nM,,32.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,32.0,IC50,32.0,7.494850021680094,pIC50,IC50
,,75120,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=N)c1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '16.34', 'le': '0.32', 'lle': '2.25', 'sei': '8.86'}",,CHEMBL368984,,CHEMBL368984,8.70,0,http://www.openphacts.org/units/Nanomolar,348578,=,1,1,=,,IC50,nM,,2.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,2.0,IC50,2.0,8.698970004336019,pIC50,IC50
,,75125,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)NCc1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '15.04', 'le': '0.30', 'lle': '2.48', 'sei': '6.03'}",,CHEMBL427479,,CHEMBL427479,8.02,0,http://www.openphacts.org/units/Nanomolar,348587,=,1,1,=,,IC50,nM,,9.5,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,9.5,IC50,9.5,8.022276394711152,pIC50,IC50
,,75553,[],CHEMBL659606,In vitro inhibition of human Coagulation factor X.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)NCCC[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,,,CHEMBL1133331,Bioorg Med Chem Lett,2000.0,"{'bei': '17.89', 'le': '0.34', 'lle': '10.60', 'sei': '3.90'}",,CHEMBL163543,,CHEMBL1181311,9.05,0,http://www.openphacts.org/units/Nanomolar,322109,=,1,1,=,,IC50,nM,,0.9,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,0.9,IC50,0.9,9.045757490560675,pIC50,IC50
,,75828,[],CHEMBL661678,In vitro inhibition of coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C2Oc3ccccc3N(CCCCCN3C(C)CCCC3C)C2=O)cc1,,,CHEMBL1133480,J Med Chem,2000.0,"{'bei': '12.16', 'le': '0.23', 'lle': '-0.29', 'sei': '12.64'}",,CHEMBL131448,,CHEMBL131448,5.31,0,http://www.openphacts.org/units/Nanomolar,251248,=,1,1,=,,IC50,nM,,4900.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,4.9,IC50,4900.0,5.309803919971486,pIC50,IC50
,,77425,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)NCCC(=O)Nc2ccc(Br)cn2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '15.74', 'le': '0.35', 'lle': '5.00', 'sei': '6.03'}",,CHEMBL173877,,CHEMBL173877,7.92,0,http://www.openphacts.org/units/Nanomolar,348620,=,1,1,=,,IC50,nM,,12.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,12.0,IC50,12.0,7.920818753952375,pIC50,IC50
,,77426,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Br)cn2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '15.36', 'le': '0.33', 'lle': '3.81', 'sei': '6.45'}",,CHEMBL174750,,CHEMBL174750,8.47,0,http://www.openphacts.org/units/Nanomolar,348621,=,1,1,=,,IC50,nM,,3.4,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,3.4,IC50,3.4,8.468521082957745,pIC50,IC50
,,77767,[],CHEMBL659606,In vitro inhibition of human Coagulation factor X.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCCC(C[C@@H](NS(=O)(=O)Cc2ccccc2C(=O)O)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)C1.O=C(O)C(F)(F)F,,,CHEMBL1133331,Bioorg Med Chem Lett,2000.0,"{'bei': '14.23', 'le': '0.28', 'lle': '10.60', 'sei': '3.24'}",,CHEMBL435448,,CHEMBL1185831,8.68,0,http://www.openphacts.org/units/Nanomolar,322114,=,1,1,=,,IC50,nM,,2.1,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,2.1,IC50,2.1,8.67778070526608,pIC50,IC50
,,77771,[],CHEMBL659606,In vitro inhibition of human Coagulation factor X.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2cccc(C(=O)O)c2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1.O=C(O)C(F)(F)F,,,CHEMBL1133331,Bioorg Med Chem Lett,2000.0,"{'bei': '13.72', 'le': '0.27', 'lle': '10.29', 'sei': '3.12'}",,CHEMBL163482,,CHEMBL1181310,8.37,0,http://www.openphacts.org/units/Nanomolar,322106,=,1,1,=,,IC50,nM,,4.3,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,4.3,IC50,4.3,8.366531544420413,pIC50,IC50
,,77812,[],CHEMBL659617,Inhibitory activity against human Coagulation factor X in a purified enzyme system,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@H](NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,,,CHEMBL1136317,Bioorg Med Chem Lett,2003.0,"{'bei': '18.03', 'le': '0.35', 'lle': '4.53', 'sei': '7.79'}",,CHEMBL122286,,CHEMBL122286,7.77,0,http://www.openphacts.org/units/Nanomolar,233457,=,1,1,=,,IC50,nM,,17.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,17.0,IC50,17.0,7.769551078621726,pIC50,IC50
,,78024,[],CHEMBL661678,In vitro inhibition of coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccc(C(=N)N)cc2)Oc2ccccc21,,,CHEMBL1133480,J Med Chem,2000.0,"{'bei': '11.37', 'le': '0.21', 'lle': '0.23', 'sei': '6.17'}",,CHEMBL130420,,CHEMBL130420,5.10,0,http://www.openphacts.org/units/Nanomolar,251243,=,1,1,=,,IC50,nM,,7900.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,7.9,IC50,7900.0,5.102372908709558,pIC50,IC50
,,78691,[],CHEMBL659623,Inhibition of activated Coagulation factor X,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OC)[C@H]2C3)c1,,,CHEMBL1132127,Bioorg Med Chem Lett,1999.0,"{'bei': '11.21', 'le': '0.21', 'lle': '1.09', 'sei': '4.84'}",,CHEMBL295886,,CHEMBL295886,5.66,0,http://www.openphacts.org/units/Nanomolar,73011,=,1,1,=,,IC50,nM,,2200.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,2.2,IC50,2200.0,5.657577319177793,pIC50,IC50
,,78698,[],CHEMBL659623,Inhibition of activated Coagulation factor X,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,,,CHEMBL1132127,Bioorg Med Chem Lett,1999.0,"{'bei': '10.15', 'le': '0.19', 'lle': '0.72', 'sei': '4.39'}",,CHEMBL296764,,CHEMBL296764,5.25,0,http://www.openphacts.org/units/Nanomolar,73015,=,1,1,=,,IC50,nM,,5600.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,5.6,IC50,5600.0,5.251811972993799,pIC50,IC50
,,78913,[],CHEMBL659617,Inhibitory activity against human Coagulation factor X in a purified enzyme system,B,,,BAO_0000190,BAO_0000357,single protein format,CCC[C@@H](NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,,,CHEMBL1136317,Bioorg Med Chem Lett,2003.0,"{'bei': '18.55', 'le': '0.36', 'lle': '4.62', 'sei': '8.27'}",,CHEMBL122023,,CHEMBL122023,8.25,0,http://www.openphacts.org/units/Nanomolar,233455,=,1,1,=,,IC50,nM,,5.6,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,5.6,IC50,5.6,8.2518119729938,pIC50,IC50
,,79856,[],CHEMBL659623,Inhibition of activated Coagulation factor X,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(S(=O)(=O)c4ccccc4)[C@H]2C3)c1,,,CHEMBL1132127,Bioorg Med Chem Lett,1999.0,"{'bei': '12.15', 'le': '0.23', 'lle': '1.94', 'sei': '5.72'}",,CHEMBL297169,,CHEMBL297169,7.13,0,http://www.openphacts.org/units/Nanomolar,73016,=,1,1,=,,IC50,nM,,74.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,0.074,IC50,74.0,7.130768280269024,pIC50,IC50
,,80075,[],CHEMBL659617,Inhibitory activity against human Coagulation factor X in a purified enzyme system,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,,,CHEMBL1136317,Bioorg Med Chem Lett,2003.0,"{'bei': '17.05', 'le': '0.33', 'lle': '4.26', 'sei': '7.12'}",,CHEMBL121917,,CHEMBL121917,7.11,0,http://www.openphacts.org/units/Nanomolar,233456,=,1,1,=,,IC50,nM,,78.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,78.0,IC50,78.0,7.107905397309519,pIC50,IC50
,,80344,[],CHEMBL661678,In vitro inhibition of coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,,,CHEMBL1133480,J Med Chem,2000.0,"{'bei': '19.00', 'le': '0.35', 'lle': '3.65', 'sei': '10.31'}",,CHEMBL133326,,CHEMBL133326,8.52,0,http://www.openphacts.org/units/Nanomolar,251237,=,1,1,=,,IC50,nM,,3.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,0.003,IC50,3.0,8.522878745280337,pIC50,IC50
,,80345,[],CHEMBL769325,Compound was tested for in vitro inhibitory activity against Prothrombinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,,,CHEMBL1133480,J Med Chem,2000.0,"{'bei': '18.72', 'le': '0.35', 'lle': '3.53', 'sei': '10.16'}",,CHEMBL133326,,CHEMBL133326,8.40,0,http://www.openphacts.org/units/Nanomolar,251237,=,1,1,=,,IC50,nM,,4.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,uM,UO_0000065,,0.004,IC50,4.0,8.397940008672037,pIC50,IC50
,,80693,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2ccc(-n3ccnc3)cc2C(=O)Nc2ccc(Br)cn2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '11.16', 'le': '0.24', 'lle': '2.04', 'sei': '4.62'}",,CHEMBL177332,,CHEMBL177332,6.89,0,http://www.openphacts.org/units/Nanomolar,348606,=,1,1,=,,IC50,nM,,128.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,128.0,IC50,128.0,6.892790030352131,pIC50,IC50
,,80695,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCC(C(=O)O)CC3)c2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '14.83', 'le': '0.29', 'lle': '1.88', 'sei': '7.83'}",,CHEMBL367386,,CHEMBL367386,8.74,0,http://www.openphacts.org/units/Nanomolar,348595,=,1,1,=,,IC50,nM,,1.8,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,1.8,IC50,1.8,8.744727494896694,pIC50,IC50
,,80696,[],CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCCN(c2cccc(-c3ccc(C(=O)Nc4ccc(Cl)cc4C(=O)Nc4ccc(Cl)cn4)cc3)c2)CC1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004.0,"{'bei': '13.33', 'le': '0.26', 'lle': '0.96', 'sei': '9.87'}",,CHEMBL177865,,CHEMBL177865,7.66,0,http://www.openphacts.org/units/Nanomolar,348582,=,1,1,=,,IC50,nM,,22.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,22.0,IC50,22.0,7.657577319177793,pIC50,IC50
