activity_id,molecule_chembl_id,canonical_smiles,activity_type_source,standard_type,standard_relation,standard_value,standard_value_num,standard_units,pActivity,pchembl_value,assay_type,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,document_chembl_id
95532,CHEMBL129854,CC(C)N(CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21)C(C)C,IC50,IC50,=,120.0,120.0,nM,6.920818753952375,6.92,B,CHEMBL661678,In vitro inhibition of coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1133480
95915,CHEMBL366962,CN(C)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,0.9,0.9,nM,9.045757490560675,9.05,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
96327,CHEMBL435448,N=C(N)N1CCCC(C[C@@H](NS(=O)(=O)Cc2ccccc2C(=O)O)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)C1.O=C(O)C(F)(F)F,IC50,IC50,=,4.2,4.2,nM,8.3767507096021,8.38,B,CHEMBL659606,In vitro inhibition of human Coagulation factor X.,CHEMBL244,Coagulation factor X,CHEMBL1133331
97022,CHEMBL297835,N=C(N)c1cccc(Oc2ccccc2NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,IC50,=,3.6,3.6,nM,8.443697499232712,8.44,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
97023,CHEMBL174005,NCc1ccccc1-c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,67.0,67.0,nM,7.173925197299173,7.17,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
98081,CHEMBL367451,CN1CCCN(c2ccccc2-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)CC1,IC50,IC50,=,3.1,3.1,nM,8.508638306165727,8.51,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
98086,CHEMBL369084,CN(C)C(=N)c1ccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)cc1,IC50,IC50,=,60.0,60.0,nM,7.221848749616356,7.22,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
98291,CHEMBL44710,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2C(=O)OCCCc2ccccc2)c1,IC50,IC50,=,3600.0,3600.0,nM,5.443697499232712,5.44,B,CHEMBL659623,Inhibition of activated Coagulation factor X,CHEMBL244,Coagulation factor X,CHEMBL1132127
98472,CHEMBL423823,N=C(N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,IC50,IC50,=,0.9,0.9,nM,9.045757490560675,9.05,B,CHEMBL659606,In vitro inhibition of human Coagulation factor X.,CHEMBL244,Coagulation factor X,CHEMBL1133331
98672,CHEMBL336394,CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)NN3CCOCC3)c2)Oc2ccccc21,IC50,IC50,=,1500.0,1500.0,nM,5.823908740944319,5.82,B,CHEMBL661678,In vitro inhibition of coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1133480
99084,CHEMBL355573,Nc1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,IC50,IC50,=,1.9,1.9,nM,8.721246399047171,8.72,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
99085,CHEMBL176694,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCCCC3)c2)cc1,IC50,IC50,=,16.0,16.0,nM,7.795880017344075,7.80,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
99990,CHEMBL174815,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2ccccc2N2CCC(O)CC2)cc1,IC50,IC50,=,1.0,1.0,nM,9.0,9.00,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
100888,CHEMBL175381,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2ncccc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,48.0,48.0,nM,7.318758762624412,7.32,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
100890,CHEMBL177652,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2ccccc2N2CCOCC2)cc1,IC50,IC50,=,4.1,4.1,nM,8.387216143280265,8.39,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
101409,CHEMBL163543,N=C(N)NCCC[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,IC50,IC50,=,34.9,34.9,nM,7.45717457304082,7.46,B,CHEMBL659606,In vitro inhibition of human Coagulation factor X.,CHEMBL244,Coagulation factor X,CHEMBL1133331
101605,CHEMBL132528,CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccccc2)Oc2ccccc21,IC50,IC50,=,27000.0,27000.0,nM,4.568636235841013,4.57,B,CHEMBL661678,In vitro inhibition of coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1133480
102026,CHEMBL366802,Nc1ccc(NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,IC50,IC50,=,6.7,6.7,nM,8.173925197299173,8.17,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102028,CHEMBL175562,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2cccnc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,26.0,26.0,nM,7.585026652029182,7.58,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102030,CHEMBL366862,Nc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,1.3,1.3,nM,8.886056647693163,8.89,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102035,CHEMBL368089,CNc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,4.1,4.1,nM,8.387216143280265,8.39,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102036,CHEMBL178112,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCNCC3)c2)cc1,IC50,IC50,=,39.0,39.0,nM,7.4089353929735005,7.41,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102037,CHEMBL176136,CN(C)C(=N)c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,IC50,=,0.2,0.2,nM,9.698970004336019,9.70,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102368,CHEMBL123381,CCCN(NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,IC50,IC50,=,85.0,85.0,nM,7.070581074285707,7.07,B,CHEMBL659618,Inhibitory activity against human coagulation factor X in a purified enzyme system,CHEMBL244,Coagulation factor X,CHEMBL1136317
102997,CHEMBL362229,O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2ccccc2N2CCCC2)cc1,IC50,IC50,=,2.8,2.8,nM,8.55284196865778,8.55,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
102998,CHEMBL367472,CN1CCN(c2cccc(-c3ccc(C(=O)Nc4ccc(Cl)cc4C(=O)Nc4ccc(Cl)cn4)cc3)c2)CC1,IC50,IC50,=,23.0,23.0,nM,7.638272163982407,7.64,B,CHEMBL661984,Inhibitory concentration against coagulation factor Xa.,CHEMBL244,Coagulation factor X,CHEMBL1147577
