molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL2441036,COc1cc(COc2cccc(NC(=O)C3CCN(c4ccncc4)CC3)c2)cc(OC)c1,COc1cc(COc2cccc(NC(=O)C3CCN(c4ccncc4)CC3)c2)cc(OC)c1,COc1cc(COc2cccc(NC(=O)C3CCN(c4ccncc4)CC3)c2)cc(OC)c1,pKi,3.8996294548824375,3.8996294548824375,3.8996294548824375,0.0,3.8996294548824375,3.8996294548824375,0.0,False,1,1,1,1,1,126000.0,126000.0,126000.0,33,447.5350000000002,B,CHEMBL2443898,CHEMBL2440069,13490260
CHEMBL491673,O=C(Nc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)C1CCNCC1,O=C(Nc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)C1CCNCC1,O=C(Nc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)C1CCNCC1,pKi,3.8996294548824375,3.8996294548824375,3.8996294548824375,0.0,3.8996294548824375,3.8996294548824375,0.0,False,1,1,1,1,1,126000.0,126000.0,126000.0,29,386.4950000000002,B,CHEMBL945266,CHEMBL1140910,2393210
CHEMBL492334,COC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1cccc(NC(=O)CCN)c1,COC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1cccc(NC(=O)CCN)c1,COC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1cccc(NC(=O)CCN)c1,pKi,3.8961962790440428,3.8961962790440428,3.8961962790440428,0.0,3.8961962790440428,3.8961962790440428,0.0,False,1,1,1,1,1,127000.0,127000.0,127000.0,39,558.661,B,CHEMBL954313,CHEMBL1153335,2277772
CHEMBL209334,N=C(N)NCCC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)Cc2ccc3ccccc3c2)CC1,N=C(N)NCCC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)Cc2ccc3ccccc3c2)CC1,N=C(N)NCCC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)Cc2ccc3ccccc3c2)CC1,pKi,3.886056647693163,3.886056647693163,3.886056647693163,0.0,3.886056647693163,3.886056647693163,0.0,False,1,1,1,1,1,130000.0,130000.0,130000.0,42,592.726,B,CHEMBL868545,CHEMBL1138903,1746781
CHEMBL1161256,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)C(=O)O)c1,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)C(=O)O)c1,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)C(=O)O)c1,pKi,3.8859999926624793,3.8859999926624793,3.8859999926624793,0.0,3.8859999926624793,3.8859999926624793,0.0,False,1,1,1,1,1,130016.96,130016.96,130016.96,30,425.4660000000002,B,CHEMBL857787,CHEMBL1132189,32587
CHEMBL1161260,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1,pKi,3.8859999926624793,3.8859999926624793,3.8859999926624793,0.0,3.8859999926624793,3.8859999926624793,0.0,False,1,1,1,1,1,130016.96,130016.96,130016.96,35,494.5730000000003,B,CHEMBL857787,CHEMBL1132189,32584
CHEMBL109999,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)NC1CCc2c(sc(=N)n2N)C1,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)NC1CCc2c(sc(=N)n2N)C1,Cc1ccc(NS(=O)(=O)Cc2ccc(F)cc2)c(=O)n1CC(=O)NC1CCc2c(sc(=N)n2N)C1,pKi,3.8827287043442356,3.8827287043442356,3.8827287043442356,0.0,3.8827287043442356,3.8827287043442356,0.0,False,1,1,1,1,1,131000.0,131000.0,131000.0,35,520.6120000000003,B,CHEMBL661989,CHEMBL1146655,623759
CHEMBL4466850,CN(C)S(=O)(=O)N[C@@H]1Cc2ccc(cc2)NC(=O)CN2CCN(CC2)CC(=O)Nc2ccc(cc2)C[C@@H](C(=O)NCc2ccc(C(=N)N)cc2)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CN(C)S(=O)(=O)N[C@@H]1Cc2ccc(cc2)NC(=O)CN2CCN(CC2)CC(=O)Nc2ccc(cc2)C[C@@H](C(=O)NCc2ccc(C(=N)N)cc2)NC1=O,CN(C)S(=O)(=O)N[C@@H]1Cc2ccc(cc2)NC(=O)CN2CCN(CC2)CC(=O)Nc2ccc(cc2)C[C@@H](C(=O)NCc2ccc(C(=N)N)cc2)NC1=O,pKi,3.871600731282194,3.871600731282194,3.871600731282194,0.0,3.871600731282194,3.871600731282194,0.0,False,1,1,1,1,1,134400.0,134400.0,134400.0,53,746.8950000000001,B,CHEMBL4426080,CHEMBL4425109,19404274
CHEMBL468143,CN1C(=O)C(Cc2ccc(C(=N)N)cc2)Oc2cc(N(Cc3ccccc3)C(=O)CC(=O)O)ccc21,CN1C(=O)C(Cc2ccc(C(=N)N)cc2)Oc2cc(N(Cc3ccccc3)C(=O)CC(=O)O)ccc21,CN1C(=O)C(Cc2ccc(C(=N)N)cc2)Oc2cc(N(Cc3ccccc3)C(=O)CC(=O)O)ccc21,pKi,3.856985199745905,3.856985199745905,3.856985199745905,0.0,3.856985199745905,3.856985199745905,0.0,False,1,1,1,1,1,139000.0,139000.0,139000.0,36,486.5280000000003,B,CHEMBL972357,CHEMBL1150268,2353599
CHEMBL214368,CCOC(=O)N[C@@H](CCCCN)C(=O)c1noc(Cc2ccc(C(=O)NC3Cc4ccccc4C3)cc2)n1,CCOC(=O)N[C@@H](CCCCN)C(=O)c1noc(Cc2ccc(C(=O)NC3Cc4ccccc4C3)cc2)n1,CCOC(=O)N[C@@H](CCCCN)C(=O)c1noc(Cc2ccc(C(=O)NC3Cc4ccccc4C3)cc2)n1,pKi,3.853871964321762,3.853871964321762,3.853871964321762,0.0,3.853871964321762,3.853871964321762,0.0,False,1,1,1,1,1,140000.0,140000.0,140000.0,38,519.6020000000002,B,CHEMBL864207,CHEMBL1146045,1756776
CHEMBL422533,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NC(=O)OCc2ccccc2)cc1,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NC(=O)OCc2ccccc2)cc1,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NC(=O)OCc2ccccc2)cc1,pKi,3.853871964321762,3.853871964321762,3.853871964321762,0.0,3.853871964321762,3.853871964321762,0.0,False,1,1,1,1,1,140000.0,140000.0,140000.0,31,427.4610000000001,B,CHEMBL662876,CHEMBL1135855,169473
CHEMBL440919,CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,pKi,3.853871964321762,3.853871964321762,3.853871964321762,0.0,3.853871964321762,3.853871964321762,0.0,False,1,1,1,1,1,140000.0,140000.0,140000.0,28,393.4440000000001,B,CHEMBL662876,CHEMBL1135855,147427
CHEMBL1202120,NC(N)=NCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(c1ccccc1)c1ccccc1)C(=O)CCC(=O)N1CCCCC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,NC(N)=NCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(c1ccccc1)c1ccccc1)C(=O)CCC(=O)N1CCCCC1,NC(N)=NCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(c1ccccc1)c1ccccc1)C(=O)CCC(=O)N1CCCCC1,pKi,3.826813731587726,3.826813731587726,3.826813731587726,0.0,3.826813731587726,3.826813731587726,0.0,False,1,1,1,1,1,149000.0,149000.0,149000.0,45,617.7949999999998,B,CHEMBL661990,CHEMBL1126118,1267314
CHEMBL64578,Cc1cc(Br)c(O)c(C(=O)Nc2ccc(NC(=N)N)cc2)c1,Cc1cc(Br)c(O)c(C(=O)Nc2ccc(NC(=N)N)cc2)c1,Cc1cc(Br)c(O)c(C(=O)Nc2ccc(NC(=N)N)cc2)c1,pKi,3.8210230527068303,3.8210230527068303,3.8210230527068303,0.0,3.8210230527068303,3.8210230527068303,0.0,False,1,1,1,1,1,151000.0,151000.0,151000.0,22,363.2150000000001,B,CHEMBL660267,CHEMBL1135196,528106
