activity_type,raw_total,after_standard_type,after_units_nM,after_relation_equal,after_positive_numeric_value,after_nonmissing_smiles,binding_assay_clean
Ki,4766,4766,4735,4235,4232,4232,4232
IC50,3930,3930,3851,3345,3345,3345,3312
