molecule_chembl_id,smiles,canonical_smiles_rdkit,endpoint,target_pKi,target_value,n_activity_records,p_endpoint_range,high_replicate_spread,n_molecule_chembl_ids_collapsed,collapsed_molecule_chembl_ids,canonical_smiles,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids,structure_level_target_mean,structure_level_target_std,structure_level_target_min,structure_level_target_max,structure_level_target_range,high_duplicate_smiles_spread,collapsed_activity_record_count,structure_dedup_note
CHEMBL3099586,N=C(N)c1ccc(Oc2cc(C(=O)NC3CCN(CCCN)CC3)cc(Oc3ccc(C(=N)N)cc3)n2)cc1,N=C(N)c1ccc(Oc2cc(C(=O)NC3CCN(CCCN)CC3)cc(Oc3ccc(C(=N)N)cc3)n2)cc1,pKi,7.0,7.0,1,0.0,False,1,CHEMBL3099586,N=C(N)c1ccc(Oc2cc(C(=O)NC3CCN(CCCN)CC3)cc(Oc3ccc(C(=N)N)cc3)n2)cc1,7.0,0.0,7.0,7.0,1,1,1,1,100.0,100.0,100.0,39,530.6330000000004,B,CHEMBL3101479,CHEMBL3098065,13860997,7.0,0.0,7.0,7.0,0.0,False,1,single_structure
CHEMBL162596,N=C(N)c1cccc(C(=O)NC(C(=O)NCC2CCC(CN)CC2)c2cccc3ccccc23)c1,N=C(N)c1cccc(C(=O)NC(C(=O)NCC2CCC(CN)CC2)c2cccc3ccccc23)c1,pKi,7.0,7.0,1,0.0,False,1,CHEMBL162596,N=C(N)c1cccc(C(=O)NC(C(=O)NCC2CCC(CN)CC2)c2cccc3ccccc23)c1,7.0,0.0,7.0,7.0,1,1,1,1,100.0,100.0,100.0,35,471.6050000000003,B,CHEMBL663265,CHEMBL1134227,1073975,7.0,0.0,7.0,7.0,0.0,False,1,single_structure
CHEMBL1270752,Nc1nccc2ccc(C(=O)N[C@@H](C(=O)N3CCN(c4ccncc4)CC3)c3ccccc3)cc12,Nc1nccc2ccc(C(=O)N[C@@H](C(=O)N3CCN(c4ccncc4)CC3)c3ccccc3)cc12,pKi,7.0,7.0,1,0.0,False,1,CHEMBL1270752,Nc1nccc2ccc(C(=O)N[C@@H](C(=O)N3CCN(c4ccncc4)CC3)c3ccccc3)cc12,7.0,0.0,7.0,7.0,1,1,1,1,100.0,100.0,100.0,35,466.5450000000002,B,CHEMBL1273257,CHEMBL1268866,3515102,7.0,0.0,7.0,7.0,0.0,False,1,single_structure
CHEMBL149657,O=C(Nc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1NC(=O)c1sc2ccccc2c1Cl,O=C(Nc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1NC(=O)c1sc2ccccc2c1Cl,pKi,7.0,7.0,1,0.0,False,1,CHEMBL149657,O=C(Nc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1NC(=O)c1sc2ccccc2c1Cl,7.0,0.0,7.0,7.0,1,1,1,1,100.0,100.0,100.0,33,509.3360000000001,B,CHEMBL857526,CHEMBL1136562,844806,7.0,0.0,7.0,7.0,0.0,False,1,single_structure
CHEMBL1684191,O=C1[C@@H](NS(=O)(=O)c2ccc3cc[nH]c3c2)CCN1c1ccc(C2CCCN2)cc1F,O=C1[C@@H](NS(=O)(=O)c2ccc3cc[nH]c3c2)CCN1c1ccc(C2CCCN2)cc1F,pKi,7.0,7.0,1,0.0,False,1,CHEMBL1684191,O=C1[C@@H](NS(=O)(=O)c2ccc3cc[nH]c3c2)CCN1c1ccc(C2CCCN2)cc1F,7.0,0.0,7.0,7.0,1,1,1,1,100.0,100.0,100.0,31,442.51600000000025,B,CHEMBL1686577,CHEMBL1681766,5246355,7.0,0.0,7.0,7.0,0.0,False,1,single_structure
CHEMBL94904,O=C(NCC1CCN(c2ccncc2)CC1)c1ccc(Cl)c(OCCc2ccc(F)cc2)c1,O=C(NCC1CCN(c2ccncc2)CC1)c1ccc(Cl)c(OCCc2ccc(F)cc2)c1,pKi,6.991399828238082,6.991399828238082,3,0.008600171761917963,False,1,CHEMBL94904,O=C(NCC1CCN(c2ccncc2)CC1)c1ccc(Cl)c(OCCc2ccc(F)cc2)c1,6.994266552158721,0.004965311481820354,6.991399828238082,7.0,3,3,1,1,102.0,100.0,102.0,33,467.9720000000002,B,CHEMBL1768188;CHEMBL662838;CHEMBL875189,CHEMBL1144416;CHEMBL1148260;CHEMBL1764989,1505444;6171618;850176,6.991399828238082,0.0,6.991399828238082,6.991399828238082,0.0,False,3,single_structure
CHEMBL421370,N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4ccccc4)CC3)C2=O)c1,N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4ccccc4)CC3)C2=O)c1,pKi,6.991399828238082,6.991399828238082,1,0.0,False,2,CHEMBL421370;CHEMBL553840,N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4ccccc4)CC3)C2=O)c1,6.991399828238082,0.0,6.991399828238082,6.991399828238082,1,1,1,1,102.0,102.0,102.0,30,405.54600000000016,B,CHEMBL662826,CHEMBL1131265,552375,6.991399828238082,0.0,6.991399828238082,6.991399828238082,0.0,False,2,collapsed_duplicate_canonical_smiles
CHEMBL6172535,COCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,COCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,pKi,6.991399828238082,6.991399828238082,1,0.0,False,1,CHEMBL6172535,COCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,6.991399828238082,0.0,6.991399828238082,6.991399828238082,1,1,1,1,102.0,102.0,102.0,46,652.7780000000001,B,CHEMBL6113346,CHEMBL6109142,29183625,6.991399828238082,0.0,6.991399828238082,6.991399828238082,0.0,False,1,single_structure
CHEMBL359704,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,pKi,6.987162775294828,6.987162775294828,1,0.0,False,1,CHEMBL359704,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,6.987162775294828,0.0,6.987162775294828,6.987162775294828,1,1,1,1,103.0,103.0,103.0,32,469.0100000000003,B,CHEMBL827058,CHEMBL1137151,1444302,6.987162775294828,0.0,6.987162775294828,6.987162775294828,0.0,False,1,single_structure
CHEMBL541153,CC[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,CC[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,pKi,6.987162775294828,6.987162775294828,1,0.0,False,1,CHEMBL541153,CC[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1.O=C([O-])C(F)(F)F,6.987162775294828,0.0,6.987162775294828,6.987162775294828,1,1,1,1,103.0,103.0,103.0,35,472.5880000000002,B,CHEMBL663407,CHEMBL1135480,799027,6.987162775294828,0.0,6.987162775294828,6.987162775294828,0.0,False,1,single_structure
